"UUID"	"IsaacObjectType"	"VersionType"	"ReferencedComponent"	"Status"	"Time"	"Author"	"Module"	"Path"
"79a92f9e-cd93-5537-984c-c9aa4532e59d"	"Semantic"	"Member"	"1f20134a-960e-11e5-8994-feff819cdc9f"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"
"f02874c5-186b-53c4-9054-f819975a9814"	"Semantic"	"Member"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"
