"UUID"	"IsaacObjectType"	"VersionType"	"ReferencedComponent"	"Status"	"Time"	"Author"	"Module"	"Path"	"ReferencedComponentTypeRestriction"	"ReferencedComponentSubtypeRestriction"
"4b6f19f7-fbe9-5124-abc1-ab25c1c89751"	"Semantic"	"Dynamic"	"b0372953-4f20-58b8-ad04-20c2239c7d4e"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"SEMANTIC"	"DESCRIPTION"
"e018cead-3c4f-58f4-a5e6-a06800f6568d"	"Semantic"	"Dynamic"	"c342d18a-ec1c-5583-bfe3-59e6324ae189"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"SEMANTIC"	"DESCRIPTION"
