"UUID"	"IsaacObjectType"	"VersionType"	"ReferencedComponent"	"Status"	"Time"	"Author"	"Module"	"Path"	"graph"
"0956aad9-b9fa-5ab7-8cbc-09f0a4592ac5"	"Semantic"	"Logic Graph"	"3680e12d-c14c-39cb-ac89-2ae1fa125d41"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""Health concept (SOLOR) <ee9ac5d2-a07c-3981-a57a-f7f26baf38d8>""
"
"c6457149-3259-51fe-8c97-86c7cbe9d408"	"Semantic"	"Logic Graph"	"95f41098-8391-3f5e-9d61-4b019f1de99d"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""Health concept (SOLOR) <ee9ac5d2-a07c-3981-a57a-f7f26baf38d8>""
"
"94ce8032-0aea-539c-9455-53f2bac61daa"	"Semantic"	"Logic Graph"	"7bbd4210-381c-11e7-9598-0800200c9a66"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""SOLOR concept (SOLOR) <7c21b6c5-cf11-5af9-893b-743f004c97f5>""
"
"0e21cb69-3f67-5cfd-8e75-b6476cef1d11"	"Semantic"	"Logic Graph"	"3daac6c4-78c5-5271-9c63-6e28f80e0c52"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""version:1.2.0 <7bbd4210-381c-11e7-9598-0800200c9a66>""
"
"980736be-413c-5503-a2e8-618508ce841c"	"Semantic"	"Logic Graph"	"4fa29287-a80e-5f83-abab-4b587973e7b7"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""Semantic type (SOLOR) <3daac6c4-78c5-5271-9c63-6e28f80e0c52>""
"
"f703a155-91cb-52b3-b7fc-3e2b2353fd59"	"Semantic"	"Logic Graph"	"8ed01f85-4ecc-5a40-8061-d537106d9c9e"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""Semantic type (SOLOR) <3daac6c4-78c5-5271-9c63-6e28f80e0c52>""
"
"53d322f0-99ea-5603-bc32-7c58ef1bdfe3"	"Semantic"	"Logic Graph"	"fbf054fb-ceaf-5ab8-b946-bbcc4835ce07"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""Semantic type (SOLOR) <3daac6c4-78c5-5271-9c63-6e28f80e0c52>""
"
"2d079064-4ffe-51f0-9722-29d51968f852"	"Semantic"	"Logic Graph"	"127e7274-0b88-5519-a9db-85d4b9ce6a4a"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""Semantic type (SOLOR) <3daac6c4-78c5-5271-9c63-6e28f80e0c52>""
"
"dcf8b5b0-5c59-5fa1-ba55-2e3aabbc37b9"	"Semantic"	"Logic Graph"	"d19306b1-4744-5028-a715-17ca4a4d657f"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""Semantic type (SOLOR) <3daac6c4-78c5-5271-9c63-6e28f80e0c52>""
"
"81e623cc-d134-5ec8-bb5f-f1d41d63fb5c"	"Semantic"	"Logic Graph"	"a248fe51-70db-5a3f-9d23-9cf20afa2b4d"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""Semantic type (SOLOR) <3daac6c4-78c5-5271-9c63-6e28f80e0c52>""
"
