"UUID"	"IsaacObjectType"	"VersionType"	"ReferencedComponent"	"Status"	"Time"	"Author"	"Module"	"Path"	"component"
"4ef385ae-4af9-5cf7-838d-ee2ab9705a49"	"Semantic"	"Component Nid"	"f36e5e24-29c1-5271-be1b-4aa986857c50"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"266f1bc3-3361-39f3-bffe-69db9daea56e"
"1714fc03-3e2d-5a7f-9f59-378ff00f1f86"	"Semantic"	"Component Nid"	"71352dbd-fce5-5362-8239-3f6aa6e0e5ac"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"266f1bc3-3361-39f3-bffe-69db9daea56e"
"00940bc7-f104-52f6-973f-88e7d5306166"	"Semantic"	"Component Nid"	"66f46f29-31b3-559c-9213-97eb0862b389"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"266f1bc3-3361-39f3-bffe-69db9daea56e"
"050a002c-5123-53aa-956e-2a9ddbb2966c"	"Semantic"	"Component Nid"	"47687aad-e987-5254-af70-6a88eda12424"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"266f1bc3-3361-39f3-bffe-69db9daea56e"
"6502e712-6b70-5153-91d9-f50619bfe13a"	"Semantic"	"Component Nid"	"768b150f-e979-526b-8487-169c98826d5e"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"266f1bc3-3361-39f3-bffe-69db9daea56e"
"51f82c09-7426-5184-b7c4-e89a36f895e5"	"Semantic"	"Component Nid"	"c607f448-5001-5f6f-85ab-acd36df4216b"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"266f1bc3-3361-39f3-bffe-69db9daea56e"
"9d0e37f5-df16-5be6-ad44-88778a5f3b20"	"Semantic"	"Component Nid"	"98323eae-2aa0-546b-81a8-b83be3c0718e"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"266f1bc3-3361-39f3-bffe-69db9daea56e"
"46779692-ed22-56ab-90e4-5d09b7b35bb9"	"Semantic"	"Component Nid"	"b9f42922-b46f-5071-8fe7-cd0bce594f49"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"266f1bc3-3361-39f3-bffe-69db9daea56e"
"d5961d7f-db77-5f51-9391-b6c055f52cbd"	"Semantic"	"Component Nid"	"0ca6826e-fed9-5da7-8daf-27cd52f439c5"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"266f1bc3-3361-39f3-bffe-69db9daea56e"
"3ec74ec8-f750-5bd3-a67d-82276b619691"	"Semantic"	"Component Nid"	"157b4fb6-4683-5ec0-a3ce-26d4711aa283"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"266f1bc3-3361-39f3-bffe-69db9daea56e"
